iter	Passed	Remaining
816	10268	2300
817	10278	2286
818	10287	2273
819	10296	2260
820	10307	2247
821	10319	2234
822	10328	2221
823	10339	2208
824	10348	2195
825	10356	2181
826	10364	2168
827	10378	2155
828	10387	2142
829	10395	2129
830	10403	2115
831	10412	2102
832	10421	2089
833	10428	2075
834	10438	2062
835	10447	2049
836	10456	2036
837	10464	2022
838	10475	2010
839	10484	1997
840	10492	1983
841	10502	1970
842	10511	1957
843	10520	1944
844	10529	1931
845	10539	1918
846	10549	1905
847	10557	1892
848	10567	1879
849	10576	1866
850	10586	1853
851	10594	1840
852	10604	1827
853	10616	1814
854	10623	1801
855	10633	1788
856	10642	1775
857	10652	1763
858	10660	1749
859	10670	1737
860	10680	1724
861	10689	1711
862	10699	1698
863	10707	1685
864	10719	1672
865	10727	1659
866	10740	1647
867	10754	1635
868	10764	1622
869	10774	1609
870	10786	1597
871	10797	1584
872	10812	1572
873	10822	1560
874	10834	1547
875	10845	1535
876	10855	1522
877	10867	1510
878	10883	1498
879	10893	1485
880	10914	1474
881	10924	1461
882	10936	1449
883	10952	1437
884	10966	1425
885	10984	1413
886	11000	1401
887	11013	1389
888	11025	1376
889	11034	1363
890	11045	1351
891	11054	1338
892	11065	1325
893	11076	1313
894	11086	1300
895	11095	1287
896	11106	1275
897	11114	1262
898	11130	1250
899	11144	1238
900	11154	1225
901	11163	1212
902	11172	1200
903	11179	1187
904	11188	1174
905	11196	1161
906	11205	1148
907	11213	1136
908	11223	1123
909	11232	1110
910	11243	1098
911	11252	1085
912	11260	1072
913	11269	1060
914	11278	1047
915	11288	1035
916	11296	1022
917	11305	1009
918	11321	997
919	11332	985
920	11341	972
921	11352	960
922	11360	947
923	11371	935
924	11385	923
925	11394	910
926	11405	898
927	11420	886
928	11432	873
929	11451	861
930	11468	849
931	11489	838
932	11503	826
933	11522	814
934	11540	802
935	11553	790
936	11567	777
937	11579	765
938	11590	752
939	11601	740
940	11612	728
941	11623	715
942	11631	703
943	11642	690
944	11650	678
945	11659	665
946	11670	653
947	11679	640
948	11688	628
949	11698	615
950	11708	603
951	11719	590
952	11728	578
953	11739	566
954	11752	553
955	11762	541
956	11774	529
957	11784	516
958	11794	504
959	11805	491
960	11816	479
961	11824	467
962	11835	454
963	11846	442
964	11855	429
965	11865	417
966	11874	405
967	11883	392
968	11892	380
969	11916	368
970	11926	356
971	11937	343
972	11947	331
973	11960	319
974	11971	306
975	11981	294
976	11989	282
977	11999	269
978	12007	257
979	12016	245
980	12024	232
981	12034	220
982	12046	208
983	12055	196
984	12065	183
985	12078	171
986	12085	159
987	12095	146
988	12103	134
989	12115	122
990	12125	110
991	12134	97
992	12143	85
993	12151	73
994	12161	61
995	12170	48
996	12178	36
997	12186	24
998	12195	12
999	12204	0
